skill
adobe xd
agile
angular
ansible
api gateway
asp.net
aws
azure
bdd
big data
bitbucket
blockchain
bootstrap
c
c#
c++
cassandra
cdn
centos
chai
ci/cd
circleci
cloud storage
cloudformation
computer vision
confluence
crm
cypress
dart
data lake
data warehouse
databricks
debian
devops
django
dns
docker
ec2
elasticsearch
erp
etl
excel
express
fastapi
figma
firebase
flask
gcp
git
github
gitlab
go
graphql
hadoop
heroku
http
huggingface
iam
illustrator
invision
iot
java
javascript
jenkins
jest
jira
jquery
junit
kanban
keras
kotlin
kubernetes
lambda
laravel
lightgbm
linux
load balancer
macos
mariadb
matlab
matplotlib
microservices
mocha
mongodb
mysql
netlify
nlp
nltk
node.js
notion
numpy
openai
oracle
pair programming
pandas
photoshop
php
postgresql
postman
powerbi
pytest
python
pytorch
r
rails
react
redis
rest
robotics
ruby
rust
s3
sap
scala
scikit-learn
scrum
seaborn
selenium
sketch
slack
snowflake
soap
spacy
spark
spring
sql
sqlite
ssl
svelte
swift
tableau
tailwind css
tcp/ip
tdd
teams
tensorflow
terraform
travisci
typescript
ubuntu
vagrant
vercel
vue
websockets
windows
xgboost
zoom
